,no risk,not serious,potential risk,potentially serious,serious,undecided
no risk,1.0,0.560062051929951,0.8215305333313492,0.7295110499222068,0.396282221660163,0.7112602705524753
not serious,0.560062051929951,1.0,0.015374354261221091,0.560062051929951,0.19464099769452411,0.560062051929951
potential risk,0.8215305333313492,0.015374354261221091,1.0,0.25250164627907457,0.00020580442070809222,0.15210604128107164
potentially serious,0.7295110499222068,0.560062051929951,0.25250164627907457,1.0,0.19464099769452411,0.8789081514420167
serious,0.396282221660163,0.19464099769452411,0.00020580442070809222,0.19464099769452411,1.0,0.133276296184185
undecided,0.7112602705524753,0.560062051929951,0.15210604128107164,0.8789081514420167,0.133276296184185,1.0
