,no risk,not serious,potential risk,potentially serious,serious,undecided
no risk,1.0,0.654431893913745,0.7143075489787991,0.601630530973788,0.5139871890125272,0.7143075489787991
not serious,0.654431893913745,1.0,0.02832059215339277,0.7143075489787991,0.2434020051957016,0.5139871890125272
potential risk,0.7143075489787991,0.02832059215339277,1.0,0.06771608952817931,0.0006677170696010331,0.22748040703628428
potentially serious,0.601630530973788,0.7143075489787991,0.06771608952817931,1.0,0.7143075489787991,0.5139871890125272
serious,0.5139871890125272,0.2434020051957016,0.0006677170696010331,0.7143075489787991,1.0,0.08091716893150494
undecided,0.7143075489787991,0.5139871890125272,0.22748040703628428,0.5139871890125272,0.08091716893150494,1.0
