model,accuracy,balanced_accuracy,f1_macro,f1_weighted,cohen_kappa,matthews_corr,roc_auc_macro_ovr,pr_auc_macro_ovr
gb,0.7326007326007326,0.44055522803150887,0.4589282073324626,0.7132782717070769,0.5381138897258211,0.5433864648717289,0.8515816903697893,0.48587112813441785
rf_bal,0.7289377289377289,0.3841536652257715,0.4154032539382078,0.6998694976908785,0.5164556356064052,0.5270757704625885,0.8328383696486492,0.49934618694282684
balanced_rf,0.5384615384615384,0.4431748148541317,0.3812023382602641,0.5812221841677369,0.35057677421790934,0.36851330299094714,0.7979537211826727,0.43854382543483217
logreg_bal,0.24175824175824176,0.2275723696501685,0.17899034753254703,0.2869155620399262,0.06950207468879666,0.07946461987488751,0.6496826227066156,0.2426153512231369
