split,accuracy,balanced_accuracy,f1_macro,f1_weighted,cohen_kappa,matthews_corr,roc_auc_macro_ovr,pr_auc_macro_ovr,model
random,0.7326007326007326,0.44055522803150887,0.4589282073324626,0.7132782717070769,0.5381138897258211,0.5433864648717289,0.8515816903697893,0.48587112813441785,
temporal,0.6593406593406593,0.38638101664417457,0.38277198678555086,0.6223472976721434,0.4046150599160472,0.41946244265556193,0.7416478942356332,0.4224033580713783,gb_temporal
