community,n,accuracy,balanced_accuracy,f1_macro,dominant_class,class_diversity
0,140,0.7285714285714285,0.5351408765652952,0.5435205072705073,serious,6
1,74,0.7567567567567568,0.2942760942760943,0.28616600790513835,serious,5
2,40,0.75,0.34961685823754785,0.3451612903225807,serious,6
3,8,0.5,0.5833333333333334,0.4222222222222222,not serious,3
4,6,0.6666666666666666,0.5,0.5079365079365079,serious,3
