,no risk,not serious,potential risk,potentially serious,serious,undecided
no risk,1.0,0.13240973377457502,0.549711230061494,0.1275965614430123,0.01940103397776095,0.25395871156372785
not serious,0.13240973377457502,1.0,0.018289317425870876,0.6740456438300731,3.44798845604426e-05,0.25395871156372785
potential risk,0.549711230061494,0.018289317425870876,1.0,0.04024808580427358,2.1405827528141305e-07,0.19020979724142534
potentially serious,0.1275965614430123,0.6740456438300731,0.04024808580427358,1.0,0.1275965614430123,0.25395871156372785
serious,0.01940103397776095,3.44798845604426e-05,2.1405827528141305e-07,0.1275965614430123,1.0,3.44798845604426e-05
undecided,0.25395871156372785,0.25395871156372785,0.19020979724142534,0.25395871156372785,3.44798845604426e-05,1.0
