,no risk,not serious,potential risk,potentially serious,serious,undecided
no risk,1.0,0.04536970791816882,0.17075065422020216,0.009595109441986771,0.0018046060542021138,0.17075065422020216
not serious,0.04536970791816882,1.0,0.0901249423658732,0.0901249423658732,1.933845791409961e-08,0.04536970791816882
potential risk,0.17075065422020216,0.0901249423658732,1.0,0.009565518248850179,2.0871828620884353e-07,0.9456437512226749
potentially serious,0.009595109441986771,0.0901249423658732,0.009565518248850179,1.0,0.30841808419677574,0.004349612021946092
serious,0.0018046060542021138,1.933845791409961e-08,2.0871828620884353e-07,0.30841808419677574,1.0,3.3940729106506736e-10
undecided,0.17075065422020216,0.04536970791816882,0.9456437512226749,0.004349612021946092,3.3940729106506736e-10,1.0
