ablated_group,n_features_removed,f1_macro,delta_f1,balanced_accuracy,delta_bal_acc
content,2,0.433271788233547,0.025656419098915584,0.4132520178535359,0.027303210177972992
categorical,96,0.44267911311254965,0.01624909421991294,0.4304120399945827,0.010143188036926154
graph,67,0.46402951208386095,-0.005101304751398361,0.4434746941862691,-0.002919466154760242
temporal,5,0.4919974008131034,-0.0330691934806408,0.4550451393430521,-0.014489911311543202
